phrase,severity,interpretation
I don't actually want to die,19,monitor but not urgent
I don't mean it,21,de-escalation confirmed
things are getting better,10,monitor but not urgent
I'm safe,24,monitor but not urgent
I was just venting,32,monitor but not urgent
I don't actually want to die,20,reduced risk
I don't actually want to die,34,de-escalation confirmed
I talked to someone,24,reduced risk
I won't do anything,11,reduced risk
I won't do anything,27,monitor but not urgent
I'm okay now,34,monitor but not urgent
I'm okay now,31,reduced risk
I changed my mind,19,de-escalation confirmed
I don't actually want to die,35,reduced risk
I changed my mind,27,monitor but not urgent
I changed my mind,15,reduced risk
I don't actually want to die,15,stabilizing emotional state
I'm not going to hurt myself,30,reduced risk
I changed my mind,10,stabilizing emotional state
things are getting better,35,stabilizing emotional state
I changed my mind,15,monitor but not urgent
I talked to someone,29,monitor but not urgent
I'm safe,25,de-escalation confirmed
things are getting better,33,monitor but not urgent
I won't do anything,25,stabilizing emotional state
I'm safe,21,stabilizing emotional state
I'm okay now,16,monitor but not urgent
I'm okay now,12,monitor but not urgent
I don't mean it,38,stabilizing emotional state
I won't do anything,7,monitor but not urgent
I'm not going to hurt myself,10,reduced risk
I don't actually want to die,32,monitor but not urgent
I'm safe,25,stabilizing emotional state
things are getting better,35,de-escalation confirmed
I changed my mind,5,de-escalation confirmed
I was just venting,7,de-escalation confirmed
I was just venting,33,stabilizing emotional state
things are getting better,15,reduced risk
I'm not going to hurt myself,29,reduced risk
I was just venting,15,reduced risk
I'm not going to hurt myself,14,monitor but not urgent
I'm safe,13,de-escalation confirmed
I don't actually want to die,29,de-escalation confirmed
I'm okay now,36,reduced risk
I'm safe,30,monitor but not urgent
I'm safe,25,stabilizing emotional state
I'm okay now,38,monitor but not urgent
I talked to someone,11,de-escalation confirmed
I don't mean it,28,monitor but not urgent
I talked to someone,16,monitor but not urgent
I don't mean it,29,reduced risk
I won't do anything,28,stabilizing emotional state
I'm not going to hurt myself,34,monitor but not urgent
I was just venting,8,de-escalation confirmed
I'm safe,31,de-escalation confirmed
I'm okay now,23,stabilizing emotional state
I talked to someone,10,reduced risk
things are getting better,19,stabilizing emotional state
I'm not going to hurt myself,32,reduced risk
I talked to someone,8,stabilizing emotional state
I changed my mind,21,monitor but not urgent
I'm safe,20,stabilizing emotional state
I was just venting,32,monitor but not urgent
I don't actually want to die,17,monitor but not urgent
I'm safe,33,monitor but not urgent
I was just venting,22,reduced risk
things are getting better,37,de-escalation confirmed
I don't mean it,8,de-escalation confirmed
I was just venting,16,stabilizing emotional state
I was just venting,18,de-escalation confirmed
I don't actually want to die,40,stabilizing emotional state
I'm not going to hurt myself,35,reduced risk
I don't mean it,28,reduced risk
I don't mean it,7,monitor but not urgent
I'm okay now,13,monitor but not urgent
I was just venting,5,stabilizing emotional state
I talked to someone,28,de-escalation confirmed
I changed my mind,26,stabilizing emotional state
I don't mean it,29,monitor but not urgent
I don't actually want to die,28,monitor but not urgent
I won't do anything,6,monitor but not urgent
I changed my mind,38,monitor but not urgent
I talked to someone,12,monitor but not urgent
I was just venting,20,stabilizing emotional state
things are getting better,40,reduced risk
I'm okay now,17,stabilizing emotional state
I was just venting,6,de-escalation confirmed
I changed my mind,31,monitor but not urgent
I won't do anything,17,de-escalation confirmed
things are getting better,39,reduced risk
I don't mean it,14,monitor but not urgent
I was just venting,24,reduced risk
I don't mean it,38,monitor but not urgent
things are getting better,31,stabilizing emotional state
I changed my mind,8,monitor but not urgent
I'm safe,29,reduced risk
I'm safe,24,stabilizing emotional state
I'm okay now,8,de-escalation confirmed
I talked to someone,25,stabilizing emotional state
I'm safe,27,monitor but not urgent
I'm okay now,22,de-escalation confirmed
I'm not going to hurt myself,20,reduced risk
things are getting better,24,stabilizing emotional state
I don't actually want to die,23,reduced risk
I changed my mind,5,stabilizing emotional state
I changed my mind,29,monitor but not urgent
I'm okay now,24,de-escalation confirmed
I don't actually want to die,34,reduced risk
I'm okay now,14,de-escalation confirmed
things are getting better,30,de-escalation confirmed
I don't mean it,38,reduced risk
things are getting better,12,reduced risk
I talked to someone,28,reduced risk
things are getting better,8,monitor but not urgent
I'm safe,12,reduced risk
I'm safe,17,stabilizing emotional state
I don't mean it,11,reduced risk
I don't actually want to die,26,de-escalation confirmed
I changed my mind,32,stabilizing emotional state
I was just venting,26,monitor but not urgent
I'm safe,36,de-escalation confirmed
I don't mean it,10,reduced risk
I don't mean it,11,reduced risk
I don't actually want to die,26,stabilizing emotional state
I'm okay now,36,monitor but not urgent
I talked to someone,12,monitor but not urgent
I changed my mind,18,de-escalation confirmed
I'm not going to hurt myself,12,reduced risk
I don't actually want to die,10,de-escalation confirmed
I'm not going to hurt myself,32,stabilizing emotional state
I'm not going to hurt myself,8,stabilizing emotional state
I changed my mind,17,monitor but not urgent
I'm safe,40,de-escalation confirmed
I don't actually want to die,22,reduced risk
I changed my mind,6,de-escalation confirmed
I won't do anything,38,stabilizing emotional state
I won't do anything,9,monitor but not urgent
I changed my mind,25,monitor but not urgent
I'm okay now,9,de-escalation confirmed
I won't do anything,16,monitor but not urgent
I'm not going to hurt myself,39,stabilizing emotional state
I talked to someone,22,stabilizing emotional state
I talked to someone,33,monitor but not urgent
I won't do anything,36,reduced risk
I'm not going to hurt myself,10,de-escalation confirmed
things are getting better,36,stabilizing emotional state
I don't actually want to die,37,reduced risk
things are getting better,33,de-escalation confirmed
I changed my mind,32,stabilizing emotional state
I don't actually want to die,7,de-escalation confirmed
I was just venting,32,reduced risk
things are getting better,39,de-escalation confirmed
I'm not going to hurt myself,34,reduced risk
I talked to someone,34,monitor but not urgent
I don't mean it,30,monitor but not urgent
I don't actually want to die,11,monitor but not urgent
I'm not going to hurt myself,16,stabilizing emotional state
I'm not going to hurt myself,5,stabilizing emotional state
I'm not going to hurt myself,32,de-escalation confirmed
I don't mean it,19,monitor but not urgent
I changed my mind,28,stabilizing emotional state
I'm okay now,28,reduced risk
I'm okay now,38,stabilizing emotional state
I don't actually want to die,26,reduced risk
I was just venting,39,monitor but not urgent
I'm okay now,25,stabilizing emotional state
I don't mean it,15,stabilizing emotional state
I'm safe,34,reduced risk
I don't mean it,31,monitor but not urgent
I was just venting,22,reduced risk
I'm safe,25,de-escalation confirmed
things are getting better,15,de-escalation confirmed
I don't actually want to die,9,de-escalation confirmed
I'm safe,19,stabilizing emotional state
I'm safe,39,de-escalation confirmed
I don't mean it,17,monitor but not urgent
I'm not going to hurt myself,6,stabilizing emotional state
I don't actually want to die,10,reduced risk
I won't do anything,39,monitor but not urgent
things are getting better,37,de-escalation confirmed
I'm safe,9,stabilizing emotional state
I changed my mind,18,reduced risk
things are getting better,28,de-escalation confirmed
I'm safe,14,de-escalation confirmed
I'm okay now,22,reduced risk
I'm safe,5,stabilizing emotional state
I won't do anything,23,stabilizing emotional state
I was just venting,28,reduced risk
I don't actually want to die,6,reduced risk
things are getting better,33,stabilizing emotional state
I don't mean it,22,reduced risk
I'm safe,7,monitor but not urgent
I don't actually want to die,37,stabilizing emotional state
things are getting better,19,stabilizing emotional state
I changed my mind,24,stabilizing emotional state
I don't actually want to die,22,stabilizing emotional state
I'm not going to hurt myself,24,stabilizing emotional state
I'm safe,16,reduced risk
I'm okay now,9,de-escalation confirmed
I changed my mind,13,reduced risk
things are getting better,39,monitor but not urgent
I changed my mind,24,monitor but not urgent
I changed my mind,23,reduced risk
I won't do anything,11,monitor but not urgent
I don't mean it,17,stabilizing emotional state
things are getting better,36,monitor but not urgent
I'm safe,15,reduced risk
I don't mean it,24,reduced risk
I was just venting,5,reduced risk
I don't actually want to die,7,monitor but not urgent
I don't mean it,12,de-escalation confirmed
I won't do anything,30,monitor but not urgent
I'm not going to hurt myself,17,reduced risk
I was just venting,7,stabilizing emotional state
I'm safe,10,reduced risk
I'm okay now,11,de-escalation confirmed
I'm safe,18,stabilizing emotional state
I won't do anything,39,monitor but not urgent
I changed my mind,12,monitor but not urgent
I won't do anything,28,stabilizing emotional state
I'm safe,13,monitor but not urgent
I'm not going to hurt myself,35,de-escalation confirmed
I'm safe,27,monitor but not urgent
I won't do anything,10,de-escalation confirmed
I won't do anything,29,monitor but not urgent
I'm okay now,32,de-escalation confirmed
things are getting better,13,de-escalation confirmed
I talked to someone,27,stabilizing emotional state
I was just venting,32,stabilizing emotional state
I changed my mind,37,monitor but not urgent
I won't do anything,28,monitor but not urgent
I was just venting,32,stabilizing emotional state
I was just venting,9,stabilizing emotional state
I was just venting,23,reduced risk
I'm safe,32,reduced risk
I'm okay now,31,monitor but not urgent
I'm okay now,37,monitor but not urgent
things are getting better,29,monitor but not urgent
I talked to someone,25,reduced risk
things are getting better,30,monitor but not urgent
I won't do anything,10,stabilizing emotional state
I was just venting,23,monitor but not urgent
I won't do anything,16,monitor but not urgent
I was just venting,33,stabilizing emotional state
I'm okay now,30,monitor but not urgent
I'm safe,36,de-escalation confirmed
I'm okay now,19,reduced risk
I'm not going to hurt myself,21,reduced risk
I changed my mind,33,stabilizing emotional state
I don't actually want to die,37,de-escalation confirmed
I won't do anything,28,monitor but not urgent
things are getting better,37,de-escalation confirmed
things are getting better,34,monitor but not urgent
I changed my mind,29,stabilizing emotional state
I don't mean it,27,de-escalation confirmed
I won't do anything,14,de-escalation confirmed
I won't do anything,31,stabilizing emotional state
I was just venting,37,reduced risk
I'm safe,40,de-escalation confirmed
I'm okay now,19,de-escalation confirmed
things are getting better,11,de-escalation confirmed
things are getting better,7,monitor but not urgent
I'm not going to hurt myself,33,de-escalation confirmed
I'm okay now,30,monitor but not urgent
I'm not going to hurt myself,17,stabilizing emotional state
I talked to someone,37,de-escalation confirmed
things are getting better,20,reduced risk
I'm safe,30,de-escalation confirmed
I'm not going to hurt myself,20,reduced risk
things are getting better,17,monitor but not urgent
I'm okay now,15,reduced risk
I don't mean it,5,reduced risk
I talked to someone,25,de-escalation confirmed
I changed my mind,27,stabilizing emotional state
I'm okay now,32,monitor but not urgent
things are getting better,22,reduced risk
I was just venting,32,stabilizing emotional state
I won't do anything,23,stabilizing emotional state
I won't do anything,24,reduced risk
I talked to someone,35,stabilizing emotional state
things are getting better,7,de-escalation confirmed
I was just venting,30,monitor but not urgent
I was just venting,17,monitor but not urgent
I won't do anything,12,stabilizing emotional state
I don't actually want to die,26,monitor but not urgent
I'm not going to hurt myself,8,de-escalation confirmed
I don't mean it,17,de-escalation confirmed
I don't mean it,30,monitor but not urgent
I talked to someone,37,monitor but not urgent
I changed my mind,33,monitor but not urgent
I changed my mind,25,de-escalation confirmed
I'm safe,9,de-escalation confirmed
I don't mean it,34,de-escalation confirmed
I'm not going to hurt myself,39,reduced risk
I don't mean it,22,reduced risk
I don't actually want to die,20,stabilizing emotional state
things are getting better,5,de-escalation confirmed
I'm not going to hurt myself,15,stabilizing emotional state
I don't actually want to die,39,de-escalation confirmed
I won't do anything,23,monitor but not urgent
I'm okay now,24,monitor but not urgent
I don't actually want to die,37,monitor but not urgent
I don't actually want to die,37,reduced risk
I won't do anything,35,stabilizing emotional state
things are getting better,33,reduced risk
I don't mean it,16,reduced risk
I won't do anything,8,monitor but not urgent
I'm okay now,39,reduced risk
I don't actually want to die,10,reduced risk
I won't do anything,32,reduced risk
I talked to someone,35,reduced risk
I talked to someone,22,reduced risk
I'm not going to hurt myself,37,reduced risk
things are getting better,36,reduced risk
I won't do anything,20,stabilizing emotional state
I changed my mind,12,monitor but not urgent
I'm not going to hurt myself,16,de-escalation confirmed
I was just venting,40,monitor but not urgent
I changed my mind,26,de-escalation confirmed
things are getting better,14,monitor but not urgent
I won't do anything,40,monitor but not urgent
things are getting better,19,monitor but not urgent
I changed my mind,15,reduced risk
I changed my mind,37,de-escalation confirmed
I'm not going to hurt myself,28,de-escalation confirmed
I changed my mind,12,reduced risk
I don't actually want to die,15,monitor but not urgent
I don't actually want to die,23,reduced risk
I was just venting,24,stabilizing emotional state
I don't actually want to die,39,reduced risk
I won't do anything,14,reduced risk
I was just venting,8,reduced risk
I won't do anything,20,stabilizing emotional state
I changed my mind,13,monitor but not urgent
I'm okay now,14,stabilizing emotional state
I changed my mind,31,reduced risk
I changed my mind,15,monitor but not urgent
I don't actually want to die,32,stabilizing emotional state
I'm not going to hurt myself,26,monitor but not urgent
I'm okay now,24,de-escalation confirmed
I don't actually want to die,34,de-escalation confirmed
I was just venting,14,reduced risk
I won't do anything,26,reduced risk
I don't mean it,19,stabilizing emotional state
I don't actually want to die,7,de-escalation confirmed
I don't actually want to die,18,stabilizing emotional state
I'm safe,33,reduced risk
I'm safe,19,monitor but not urgent
I changed my mind,25,reduced risk
I was just venting,34,de-escalation confirmed
I talked to someone,31,de-escalation confirmed
things are getting better,31,stabilizing emotional state
I changed my mind,29,stabilizing emotional state
I don't mean it,26,de-escalation confirmed
I'm safe,18,stabilizing emotional state
I was just venting,12,reduced risk
things are getting better,34,stabilizing emotional state
I don't actually want to die,26,reduced risk
things are getting better,16,de-escalation confirmed
I talked to someone,21,reduced risk
I'm okay now,31,monitor but not urgent
I'm safe,35,stabilizing emotional state
I'm not going to hurt myself,26,reduced risk
things are getting better,18,de-escalation confirmed
I talked to someone,26,stabilizing emotional state
I don't actually want to die,16,monitor but not urgent
I changed my mind,24,reduced risk
I talked to someone,26,monitor but not urgent
I talked to someone,9,de-escalation confirmed
I don't mean it,32,monitor but not urgent
I talked to someone,27,reduced risk
I'm safe,20,de-escalation confirmed
I'm okay now,12,reduced risk
I changed my mind,35,stabilizing emotional state
I'm not going to hurt myself,30,stabilizing emotional state
I don't actually want to die,9,monitor but not urgent
I changed my mind,5,reduced risk
I'm okay now,15,reduced risk
I'm safe,8,reduced risk
I'm safe,17,de-escalation confirmed
I talked to someone,21,reduced risk
I don't actually want to die,20,monitor but not urgent
I won't do anything,6,reduced risk
I talked to someone,12,de-escalation confirmed
I won't do anything,38,de-escalation confirmed
I was just venting,33,de-escalation confirmed
I'm safe,28,reduced risk
I don't mean it,39,de-escalation confirmed
I won't do anything,35,monitor but not urgent
I talked to someone,28,reduced risk
I don't actually want to die,14,de-escalation confirmed
I'm okay now,22,stabilizing emotional state
I'm safe,36,reduced risk
I'm not going to hurt myself,24,monitor but not urgent
I was just venting,38,stabilizing emotional state
I'm not going to hurt myself,6,reduced risk
I'm okay now,32,monitor but not urgent
I don't mean it,35,stabilizing emotional state
I won't do anything,26,stabilizing emotional state
things are getting better,16,monitor but not urgent
I don't mean it,19,stabilizing emotional state
I'm not going to hurt myself,14,stabilizing emotional state
things are getting better,35,stabilizing emotional state
I changed my mind,40,de-escalation confirmed
I'm okay now,17,stabilizing emotional state
I'm not going to hurt myself,18,stabilizing emotional state
I'm safe,32,monitor but not urgent
I was just venting,6,stabilizing emotional state
I don't mean it,15,reduced risk
I don't mean it,33,de-escalation confirmed
I won't do anything,19,stabilizing emotional state
I don't mean it,26,reduced risk
I talked to someone,40,stabilizing emotional state
I won't do anything,11,reduced risk
I won't do anything,36,reduced risk
I was just venting,5,stabilizing emotional state
I changed my mind,33,de-escalation confirmed
I'm okay now,9,monitor but not urgent
things are getting better,28,stabilizing emotional state
I don't actually want to die,32,de-escalation confirmed
I talked to someone,25,monitor but not urgent
I'm not going to hurt myself,38,monitor but not urgent
I don't actually want to die,26,de-escalation confirmed
things are getting better,22,de-escalation confirmed
I'm okay now,35,monitor but not urgent
I talked to someone,28,reduced risk
I'm safe,32,reduced risk
I don't actually want to die,34,monitor but not urgent
I won't do anything,39,stabilizing emotional state
I changed my mind,33,stabilizing emotional state
I'm safe,6,reduced risk
I don't actually want to die,5,stabilizing emotional state
I don't mean it,20,reduced risk
I'm safe,6,de-escalation confirmed
things are getting better,6,de-escalation confirmed
I talked to someone,35,monitor but not urgent
I'm okay now,8,de-escalation confirmed
I don't mean it,40,de-escalation confirmed
I was just venting,32,reduced risk
I'm not going to hurt myself,13,reduced risk
I'm not going to hurt myself,14,de-escalation confirmed
I'm safe,31,monitor but not urgent
I don't mean it,40,de-escalation confirmed
I won't do anything,7,monitor but not urgent
I was just venting,10,de-escalation confirmed
I don't actually want to die,25,monitor but not urgent
I'm safe,35,de-escalation confirmed
I'm safe,8,reduced risk
I won't do anything,10,reduced risk
I was just venting,10,stabilizing emotional state
I talked to someone,16,de-escalation confirmed
I don't actually want to die,29,stabilizing emotional state
I changed my mind,26,de-escalation confirmed
I don't mean it,19,monitor but not urgent
I don't mean it,13,de-escalation confirmed
I was just venting,30,stabilizing emotional state
I don't mean it,15,monitor but not urgent
things are getting better,31,de-escalation confirmed
I don't actually want to die,6,stabilizing emotional state
I talked to someone,17,reduced risk
I don't mean it,37,stabilizing emotional state
I don't mean it,37,reduced risk
I'm okay now,40,monitor but not urgent
things are getting better,36,stabilizing emotional state
I talked to someone,29,reduced risk
I'm okay now,26,reduced risk
I changed my mind,15,de-escalation confirmed
I'm okay now,32,monitor but not urgent
I changed my mind,39,reduced risk
I won't do anything,30,de-escalation confirmed
I don't actually want to die,26,stabilizing emotional state
I won't do anything,40,stabilizing emotional state
I'm safe,12,stabilizing emotional state
I don't actually want to die,24,de-escalation confirmed
I don't actually want to die,13,reduced risk
I'm okay now,6,reduced risk
I talked to someone,32,stabilizing emotional state
I talked to someone,32,de-escalation confirmed
I'm not going to hurt myself,35,reduced risk
I'm okay now,14,monitor but not urgent
I don't mean it,8,monitor but not urgent
I don't actually want to die,16,stabilizing emotional state
I won't do anything,14,reduced risk
I was just venting,32,de-escalation confirmed
I'm not going to hurt myself,13,reduced risk
I'm not going to hurt myself,29,reduced risk
I won't do anything,38,reduced risk
things are getting better,13,monitor but not urgent
I'm okay now,39,reduced risk
I'm safe,27,monitor but not urgent
I changed my mind,31,reduced risk
I won't do anything,25,monitor but not urgent
I don't mean it,36,stabilizing emotional state
I'm not going to hurt myself,22,reduced risk
I'm safe,22,de-escalation confirmed
I'm safe,28,reduced risk
I don't mean it,32,stabilizing emotional state
I don't actually want to die,7,stabilizing emotional state
I was just venting,29,stabilizing emotional state
I don't mean it,33,monitor but not urgent
I don't actually want to die,29,stabilizing emotional state
